 name ,input_cov,config_cov,api_cov
2,0.082329317,0.008468596,0.009861933
4,0.082329317,0.008468596,0.009861933
6,0.098393574,0.007057163,0.01183432
8,0.084337349,0.008468596,0.009861933
10,0.084337349,0.008468596,0.009861933
12,0.084337349,0.008468596,0.009861933
14,0.084337349,0.008468596,0.009861933
16,0.088353414,0.01905434,0.010519395
18,0.088353414,0.01905434,0.010519395
20,0.084337349,0.004234298,0.009861933
22,0.120481928,0.009880028,0.013806706
24,0.084337349,0.008468596,0.010519395
26,0.080321285,0.004234298,0.008547009
28,0.100401606,0.008468596,0.011176857
30,0.130522088,0.008468596,0.012491782
32,0.130522088,0.008468596,0.012491782
34,0.108433735,0.008468596,0.012491782
36,0.126506024,0.014114326,0.014464168
38,0.126506024,0.014114326,0.014464168
40,0.126506024,0.014114326,0.014464168
42,0.146586345,0.020465773,0.016436555
44,0.140562249,0.020465773,0.015779093
46,0.146586345,0.020465773,0.016436555
48,0.146586345,0.020465773,0.016436555
50,0.096385542,0.009880028,0.010519395
52,0.090361446,0.01340861,0.010519395
54,0.118473896,0.01905434,0.013149244
56,0.118473896,0.01905434,0.013149244
58,0.092369478,0.008468596,0.010519395
60,0.118473896,0.008468596,0.013149244
62,0.162650602,0.014114326,0.019723866
64,0.162650602,0.014114326,0.020381328
66,0.174698795,0.014114326,0.02103879
68,0.174698795,0.014114326,0.02103879
70,0.174698795,0.014114326,0.02103879
72,0.124497992,0.014114326,0.014464168
74,0.116465863,0.012702893,0.014464168
76,0.116465863,0.012702893,0.014464168
78,0.116465863,0.012702893,0.014464168
80,0.110441767,0.008468596,0.013149244
82,0.110441767,0.008468596,0.013149244
84,0.110441767,0.008468596,0.013149244
86,0.110441767,0.008468596,0.013149244
88,0.110441767,0.008468596,0.013149244
90,0.108433735,0.004234298,0.012491782
92,0.108433735,0.004234298,0.012491782
94,0.108433735,0.004234298,0.012491782
96,0.084337349,0.00564573,0.009861933
98,0.104417671,0.00564573,0.013149244